"HCPCS-CPT_Code"	"HCPCS-CPT_Description"
"90654"	"Influenza Virus Vaccine"
"90655"	"Influenza Virus Vaccine"
"90656"	"Influenza Virus Vaccine"
"90657"	"Influenza Virus Vaccine"
"90660"	"Influenza Virus Vaccine"
"90661"	"Influenza Virus Vaccine"
"90662"	"Influenza Virus Vaccine"
"90672"	"Influenza Virus Vaccine"
"90673"	"Influenza Virus Vaccine"
"90685"	"Influenza Virus Vaccine"
"90686"	"Influenza Virus Vaccine"
"90687"	"Influenza Virus Vaccine"
"90688"	"Influenza Virus Vaccine"
"Q2034"	"Influenza Virus Vaccine"
"Q2035"	"Influenza Virus Vaccine"
"Q2036"	"Influenza Virus Vaccine"
"Q2037"	"Influenza Virus Vaccine"
"Q2038"	"Influenza Virus Vaccine"
"Q2039"	"Influenza Virus Vaccine"
"G0008"	"Administration"
"G0402"	"IPPE"
"G0403"	"EKG for IPPE"
"G0404"	"EKG tracing for IPPE"
"G0405"	"EKG interpret & report for IPPE"
"G0446"	"Annual, face-to-face intensive behavioral therapy for cardiovascular disease, individual, 15 minutes"
"G0447"	"Face-to-face behavioral counseling for obesity, 15 minutes"
"G0473"	"Face-to-face behavioral counseling for obesity, group (2–10), 30 minutes"
"97802"	"MNT; initial assessment and intervention, individual, face-to-face with the patient, each 15 minutes"
"97803"	"MNT; re-assessment and intervention, individual, face-to-face with the patient each 15 minutes"
"97804"	"MNT; group (2 or more individual(s)), each 30 minutes"
"G0270"	"MNT reassessment and subsequent intervention(s) for change in diagnosis, individual, each 15 minutes"
"G0271"	"MNT reassessment and subsequent intervention(s) for change in diagnosis, group (2 or more), each 30 minutes"
"90670"	"Pneumococcal Conjugate Vaccine"
"90732"	"Pneumococcal polysaccharide vaccine"
"G0009"	"Administration"
"G0102"	"Digital Rectal Exam (DRE)"
"G0103"	"Prostate Specific Antigen Test (PSA)"
"86631"	"Chlamydia"
"86632"	"Chlamydia"
"87110"	"Chlamydia"
"87270"	"Chlamydia"
"87320"	"Chlamydia"
"87490"	"Chlamydia"
"87491"	"Chlamydia"
"87810"	"Chlamydia"
"87590"	"Neisseria gonorrhoeae"
"87591"	"Neisseria gonorrhoeae"
"87850"	"Neisseria gonorrhoeae"
"87800"	"Infectious agent detection by nucleic acid (DNA or RNA), multiple organisms; direct probe(s) technique"
"86592"	"Syphilis test, non-treponemal antibody; qualitative (eg, VDRL, RPR, ART)"
"86593"	"Syphilis test, non-treponemal, quantitative"
"86780"	"Treponema pallidum"
"87340"	"Hepatitis B (hepatitis B surface antigen) "
"87341"	"Hepatitis B (hepatitis B surface antigen)"
"G0445"	"Semiannual high intensity behavioral counseling to prevent STIs, individual, face-to-face, includes education skills training & guidance on how to change sexual behavior, 30 minutes"
"77052"	"Computer-aided detection (computer algorithm analysis of digital image data for lesion detection) with further review for interpretation; screening mammography (List separately in addition to code for primary procedure)"
"77057"	"Screening mammography, bilateral (2-view film study of each breast)"
"77063"	"Screening digital breast tomosynthesis; bilateral (List separately in addition to code for primary procedure) (Use this as an add-on code to G0202 when tomosynthesis is used in addition to 2-D mammography)"
"G0202"	"Screening mammography, producing direct 2-D digital image, bilateral, all views"
"G0123"	"Screening cytopathology, cervical or vaginal"
"G0124"	"Screening cytopathology, cervical or vaginal"
"G0141"	"Screening cytopathology, cervical or vaginal"
"G0143"	"Screening cytopathology, cervical or vaginal"
"G0144"	"Screening cytopathology, cervical or vaginal"
"G0145"	"Screening cytopathology, cervical or vaginal"
"G0147"	"Screening cytopathology, cervical or vaginal"
"G0148"	"Screening cytopathology - Screening cytopathology, cervical or vaginal cervical or vaginal"
"P3000"	"Screening Pap smear by technician under physician supervision"
"P3001"	"Screening Pap smear requiring interpretation by physician"
"Q0091"	"Screening Pap smear; obtaining, preparing and conveyance to lab"
"G0101"	"Cervical or vaginal cancer screening; pelvic and clinical breast examination"
"G0389"	"Ultrasound exam for AAA screening"
